;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 05.09.2012 20:30:50
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF004EF68  	GOTO        2256
_interrupt:
;Button.c,59 :: 		void interrupt()
0x0008	0xF016C000  	MOVFF       R0, 22
0x000C	0xF015C001  	MOVFF       R1, 21
;Button.c,61 :: 		if( PIR3.RC2IF )
0x0010	0xF019CFE1  	MOVFF       FSR1L, 25
0x0014	0xF01ACFE2  	MOVFF       FSR1H, 26
0x0018	0xF017CFE9  	MOVFF       FSR0L, 23
0x001C	0xF018CFEA  	MOVFF       FSR0H, 24
0x0020	0xAAA4      	BTFSS       PIR3, 5 
0x0022	0xD074      	BRA         L_interrupt0
;Button.c,63 :: 		readGPS[0] = 'A';
0x0024	0x0E41      	MOVLW       65
0x0026	0x0101      	MOVLB       1
0x0028	0x6FCD      	MOVWF       _readGPS, 1
;Button.c,64 :: 		readGPS[1] = 'T';
0x002A	0x0E54      	MOVLW       84
0x002C	0x6FCE      	MOVWF       _readGPS+1, 1
;Button.c,65 :: 		readGPS[indGPS] = UART2_Read();
0x002E	0x0ECD      	MOVLW       _readGPS
0x0030	0x0100      	MOVLB       0
0x0032	0x257F      	ADDWF       _indGPS, 0, 1
0x0034	0x0106      	MOVLB       6
0x0036	0x6FC5      	MOVWF       FLOC__interrupt, 1
0x0038	0x0E01      	MOVLW       hi_addr(_readGPS)
0x003A	0x0100      	MOVLB       0
0x003C	0x2180      	ADDWFC      _indGPS+1, 0, 1
0x003E	0x0106      	MOVLB       6
0x0040	0x6FC6      	MOVWF       FLOC__interrupt+1, 1
0x0042	0xDAB5      	RCALL       _UART2_Read
0x0044	0xFFE1C6C5  	MOVFF       FLOC__interrupt, FSR1L
0x0048	0xFFE2C6C6  	MOVFF       FLOC__interrupt+1, FSR1H
0x004C	0xFFE6C000  	MOVFF       R0, POSTINC1
;Button.c,66 :: 		indGPS = indGPS + 1;
0x0050	0x0100      	MOVLB       0
0x0052	0x4B7F      	INFSNZ      _indGPS, 1, 1
0x0054	0x2B80      	INCF        _indGPS+1, 1, 1
;Button.c,67 :: 		if(readGPS[2]=='$' && readGPS[indGPS-2]==13 && readGPS[indGPS-1]==10)
0x0056	0x0101      	MOVLB       1
0x0058	0x51CF      	MOVF        _readGPS+2, 0, 1
0x005A	0x0A24      	XORLW       36
0x005C	0xE156      	BNZ         L_interrupt3
0x005E	0x0E02      	MOVLW       2
0x0060	0x0100      	MOVLB       0
0x0062	0x5D7F      	SUBWF       _indGPS, 0, 1
0x0064	0x6E00      	MOVWF       R0 
0x0066	0x0E00      	MOVLW       0
0x0068	0x5980      	SUBWFB      _indGPS+1, 0, 1
0x006A	0x6E01      	MOVWF       R1 
0x006C	0x0ECD      	MOVLW       _readGPS
0x006E	0x2400      	ADDWF       R0, 0 
0x0070	0x6EE9      	MOVWF       FSR0L 
0x0072	0x0E01      	MOVLW       hi_addr(_readGPS)
0x0074	0x2001      	ADDWFC      R1, 0 
0x0076	0x6EEA      	MOVWF       FSR0H 
0x0078	0x50EE      	MOVF        POSTINC0, 0 
0x007A	0x0A0D      	XORLW       13
0x007C	0xE146      	BNZ         L_interrupt3
0x007E	0x0E01      	MOVLW       1
0x0080	0x5D7F      	SUBWF       _indGPS, 0, 1
0x0082	0x6E00      	MOVWF       R0 
0x0084	0x0E00      	MOVLW       0
0x0086	0x5980      	SUBWFB      _indGPS+1, 0, 1
0x0088	0x6E01      	MOVWF       R1 
0x008A	0x0ECD      	MOVLW       _readGPS
0x008C	0x2400      	ADDWF       R0, 0 
0x008E	0x6EE9      	MOVWF       FSR0L 
0x0090	0x0E01      	MOVLW       hi_addr(_readGPS)
0x0092	0x2001      	ADDWFC      R1, 0 
0x0094	0x6EEA      	MOVWF       FSR0H 
0x0096	0x50EE      	MOVF        POSTINC0, 0 
0x0098	0x0A0A      	XORLW       10
0x009A	0xE137      	BNZ         L_interrupt3
L__interrupt116:
;Button.c,69 :: 		while(plaka[CNTforConcatanate]!='\0')
L_interrupt4:
0x009C	0x0EA5      	MOVLW       _plaka
0x009E	0x6EE9      	MOVWF       FSR0L 
0x00A0	0x0E02      	MOVLW       hi_addr(_plaka)
0x00A2	0x6EEA      	MOVWF       FSR0H 
0x00A4	0x5181      	MOVF        _CNTforConcatanate, 0, 1
0x00A6	0x26E9      	ADDWF       FSR0L, 1 
0x00A8	0x0E00      	MOVLW       0
0x00AA	0xBF81      	BTFSC       _CNTforConcatanate, 7, 1
0x00AC	0x0EFF      	MOVLW       255
0x00AE	0x22EA      	ADDWFC      FSR0H, 1 
0x00B0	0x50EE      	MOVF        POSTINC0, 0 
0x00B2	0x0A00      	XORLW       0
0x00B4	0xE023      	BZ          L_interrupt5
;Button.c,71 :: 		readGPS[indGPS-2] = plaka[CNTforConcatanate];
0x00B6	0x0E02      	MOVLW       2
0x00B8	0x5D7F      	SUBWF       _indGPS, 0, 1
0x00BA	0x6E00      	MOVWF       R0 
0x00BC	0x0E00      	MOVLW       0
0x00BE	0x5980      	SUBWFB      _indGPS+1, 0, 1
0x00C0	0x6E01      	MOVWF       R1 
0x00C2	0x0ECD      	MOVLW       _readGPS
0x00C4	0x2400      	ADDWF       R0, 0 
0x00C6	0x6EE1      	MOVWF       FSR1L 
0x00C8	0x0E01      	MOVLW       hi_addr(_readGPS)
0x00CA	0x2001      	ADDWFC      R1, 0 
0x00CC	0x6EE2      	MOVWF       FSR1H 
0x00CE	0x0EA5      	MOVLW       _plaka
0x00D0	0x6EE9      	MOVWF       FSR0L 
0x00D2	0x0E02      	MOVLW       hi_addr(_plaka)
0x00D4	0x6EEA      	MOVWF       FSR0H 
0x00D6	0x5181      	MOVF        _CNTforConcatanate, 0, 1
0x00D8	0x26E9      	ADDWF       FSR0L, 1 
0x00DA	0x0E00      	MOVLW       0
0x00DC	0xBF81      	BTFSC       _CNTforConcatanate, 7, 1
0x00DE	0x0EFF      	MOVLW       255
0x00E0	0x22EA      	ADDWFC      FSR0H, 1 
0x00E2	0xFFE6CFEE  	MOVFF       POSTINC0, POSTINC1
;Button.c,72 :: 		CNTforConcatanate = CNTforConcatanate + 1;
0x00E6	0x2B81      	INCF        _CNTforConcatanate, 1, 1
;Button.c,73 :: 		indGPS = indGPS + 1;
0x00E8	0x4B7F      	INFSNZ      _indGPS, 1, 1
0x00EA	0x2B80      	INCF        _indGPS+1, 1, 1
;Button.c,74 :: 		readGPS[indGPS]='\0';
0x00EC	0x0ECD      	MOVLW       _readGPS
0x00EE	0x257F      	ADDWF       _indGPS, 0, 1
0x00F0	0x6EE1      	MOVWF       FSR1L 
0x00F2	0x0E01      	MOVLW       hi_addr(_readGPS)
0x00F4	0x2180      	ADDWFC      _indGPS+1, 0, 1
0x00F6	0x6EE2      	MOVWF       FSR1H 
0x00F8	0x6AE6      	CLRF        POSTINC1 
;Button.c,75 :: 		}
0x00FA	0xD7D0      	BRA         L_interrupt4
L_interrupt5:
;Button.c,76 :: 		indGPS = 2;
0x00FC	0x0E02      	MOVLW       2
0x00FE	0x6F7F      	MOVWF       _indGPS, 1
0x0100	0x0E00      	MOVLW       0
0x0102	0x6F80      	MOVWF       _indGPS+1, 1
;Button.c,77 :: 		CNTforConcatanate = 0;
0x0104	0x6B81      	CLRF        _CNTforConcatanate, 1
;Button.c,78 :: 		FlagforGPSData = 1;
0x0106	0x0E01      	MOVLW       1
0x0108	0x6E5F      	MOVWF       _FlagforGPSData 
;Button.c,79 :: 		}
L_interrupt3:
;Button.c,80 :: 		PIR3.RC2IF=0;
0x010A	0x9AA4      	BCF         PIR3, 5 
;Button.c,81 :: 		}
L_interrupt0:
;Button.c,83 :: 		if( PIR1.RC1IF )
0x010C	0xAA9E      	BTFSS       PIR1, 5 
0x010E	0xD08D      	BRA         L_interrupt6
;Button.c,85 :: 		read[ind] = UART1_Read();
0x0110	0x0EB9      	MOVLW       _read
0x0112	0x243B      	ADDWF       _ind, 0 
0x0114	0x0106      	MOVLB       6
0x0116	0x6FC5      	MOVWF       FLOC__interrupt, 1
0x0118	0x0E02      	MOVLW       hi_addr(_read)
0x011A	0x203C      	ADDWFC      _ind+1, 0 
0x011C	0x6FC6      	MOVWF       FLOC__interrupt+1, 1
0x011E	0xDA3E      	RCALL       _UART1_Read
0x0120	0xFFE1C6C5  	MOVFF       FLOC__interrupt, FSR1L
0x0124	0xFFE2C6C6  	MOVFF       FLOC__interrupt+1, FSR1H
0x0128	0xFFE6C000  	MOVFF       R0, POSTINC1
;Button.c,86 :: 		ind++;
0x012C	0x4A3B      	INFSNZ      _ind, 1 
0x012E	0x2A3C      	INCF        _ind+1, 1 
;Button.c,87 :: 		if(read[0]!='M' && read[1]!='C' && read[2]!='O' && read[3]!='N' && read[4]!='F' && read[ind-2]==13 && read[ind-1]==10)
0x0130	0x0102      	MOVLB       2
0x0132	0x51B9      	MOVF        _read, 0, 1
0x0134	0x0A4D      	XORLW       77
0x0136	0xE039      	BZ          L_interrupt9
0x0138	0x51BA      	MOVF        _read+1, 0, 1
0x013A	0x0A43      	XORLW       67
0x013C	0xE036      	BZ          L_interrupt9
0x013E	0x51BB      	MOVF        _read+2, 0, 1
0x0140	0x0A4F      	XORLW       79
0x0142	0xE033      	BZ          L_interrupt9
0x0144	0x51BC      	MOVF        _read+3, 0, 1
0x0146	0x0A4E      	XORLW       78
0x0148	0xE030      	BZ          L_interrupt9
0x014A	0x51BD      	MOVF        _read+4, 0, 1
0x014C	0x0A46      	XORLW       70
0x014E	0xE02D      	BZ          L_interrupt9
0x0150	0x0E02      	MOVLW       2
0x0152	0x5C3B      	SUBWF       _ind, 0 
0x0154	0x6E00      	MOVWF       R0 
0x0156	0x0E00      	MOVLW       0
0x0158	0x583C      	SUBWFB      _ind+1, 0 
0x015A	0x6E01      	MOVWF       R1 
0x015C	0x0EB9      	MOVLW       _read
0x015E	0x2400      	ADDWF       R0, 0 
